customer_id,customer_name,email,city,region,segment,signup_date,source_file,source_system,ingestion_timestamp,ingestion_id
C0001,Arjun Sharma,arjun.sharma1@example.com,Bhopal,Central,Home Office,2024-03-06,customers.json,RetailMart,2026-07-21T13:08:30,5931d13d-421c-4a62-95fd-83c323267e0c
C0002,Meera Gupta,meera.gupta2@example.com,Pune,West,Consumer,2025-07-18,customers.json,RetailMart,2026-07-21T13:08:30,545f86d0-11af-4dd5-b3b5-c39abef44340
C0003,Arjun Jain,arjun.jain3@example.com,Lucknow,North,Consumer,2025-04-22,customers.json,RetailMart,2026-07-21T13:08:30,914a88a1-d4d8-4862-afb2-f3589933d26f
C0004,Saanvi Sharma,invalid-email,Chandigarh,North,Consumer,2024-11-16,customers.json,RetailMart,2026-07-21T13:08:30,05b97dfa-e618-46b6-9baa-29fdf1f41c33
C0005,Kavya Gupta,kavya.gupta5@example.com,Delhi,North,Home Office,2024-11-12,customers.json,RetailMart,2026-07-21T13:08:30,4a6fe799-94c9-4fff-9d8a-f0202a215a39
C0006,Aarav Jain,aarav.jain6@example.com,Chandigarh,North,Consumer,2025-09-18,customers.json,RetailMart,2026-07-21T13:08:30,6e94048e-ac67-442a-bb95-9ad2e09dd743
C0007,Zoya Kapoor,zoya.kapoor7@example.com,Lucknow,North,Consumer,2024-03-03,customers.json,RetailMart,2026-07-21T13:08:30,df8d2d88-ecd5-44e5-b0f9-f80f680dd412
C0008,Nikhil Sharma,nikhil.sharma8@example.com,Kolkata,Unknown,Consumer,2025-05-24,customers.json,RetailMart,2026-07-21T13:08:30,953a3eac-462d-4f6e-b59f-7cc715c753d0
C0009,Saanvi Patel,saanvi.patel9@example.com,Lucknow,North,Corporate,2024-05-27,customers.json,RetailMart,2026-07-21T13:08:30,d7d6729b-e9ce-4436-bdf6-205b90072cd1
C0010,Kavya Patel,kavya.patel10@example.com,Mumbai,West,Consumer,2024-03-09,customers.json,RetailMart,2026-07-21T13:08:30,063f75fc-fec3-4ef5-a42e-5fb130535071
C0011,Rohan Verma,rohan.verma11@example.com,Delhi,North,Corporate,2025-01-19,customers.json,RetailMart,2026-07-21T13:08:30,31ea5809-027d-4673-b4ac-b1e7e333b788
